taxon,cellDiameter,pH,temp,cellLength,genomeLength,gcContent,codingSequenceLength
Ammoniphilus_oxalivorans,0.52003017,0.879312568,-0.509858929,-1.050073163,NaN,NaN,NaN
Amphibacillus_xylanus_NBRC_15112,-1.00607397,1.60563596,NaN,-0.880740117,-0.904055644,-1.330381184,-0.943986812
Anaerobaculum_mobile,0.176915959,-0.286799567,1.683519564,0.258031552,NaN,NaN,NaN
Anaerobiospirillum_succiniciproducens,0.047077034,NaN,NaN,1.163705356,0.116674243,-0.675640182,-1.196060946
Anaerobranca_zavarzinii,-1.00607397,1.441105044,1.65553334,1.203909837,NaN,NaN,NaN
Anaeromusa_acidaminophila,-1.00607397,-0.234316782,0.356260022,-1.050073163,-0.118446916,-0.261423077,0.010243889
Anaerovorax_odorimutans,0.176915959,-0.720782454,0.27080423,-0.138975844,-0.282322097,-1.703126626,-0.385402709
Andreprevotia_chitinilytica,0.298372161,-0.776884781,-0.622305635,-0.014389013,0.90341852,0.627350353,0.862936429
Aneurinibacillus_terranovensis,0.52003017,-3.073271385,0.599749436,1.021295136,0.403029038,-0.571394782,0.588774027
Aquimarina_longa,-1.547468028,1.187161058,-1.395085881,3.90732882,1.078105961,-1.703126626,1.030194084
Aquimarina_muelleri_DSM_19832,-1.00607397,NaN,NaN,1.293715701,0.776230845,-1.712301874,0.544425084
Aquimonas_voraii,-1.257369095,1.187161058,NaN,0.258031552,NaN,NaN,NaN
Arcanobacterium_haemolyticum,-0.406770173,NaN,0.27080423,0.258031552,-1.573662145,0.07914128,-1.774011751
Archaeoglobus_infectus,0.176915959,-0.776884781,2.31385848,NaN,NaN,NaN,NaN
Archaeoglobus_profundus,1.212058039,-1.302144695,2.820871843,-0.880740117,-2.195976685,-0.805247433,-1.716591553
Arcicella_aquatica,-0.166198254,-0.234316782,-0.509858929,0.128021207,NaN,NaN,NaN
Arcobacter_molluscorum_CECT_7696,-1.00607397,NaN,NaN,-0.205394619,-0.721315376,-2.225205944,-0.478223673
Arcobacter_nitrofigilis_DSM_7299,-0.406770173,NaN,-0.401224718,-0.347804838,-0.339746251,-1.995606156,-0.12917039
Arcobacter_trophiarum,-1.00607397,NaN,-0.622305635,-0.590636785,NaN,NaN,NaN
Arenibacter_certesii,-0.406770173,NaN,NaN,0.687879311,0.821719987,-1.160052768,0.539206577
Arenibacter_latericius,-0.586136113,NaN,NaN,0.687879311,0.541601077,-1.236219286,0.290837879
Arenimonas_composti,-0.784415959,0.270801945,-0.401224718,-0.880740117,-0.366684831,1.585516547,-0.416359857
Arenimonas_donghaensis,-0.586136113,0.743308954,-0.622305635,-0.239745014,-0.521213765,1.388579728,-0.568642481
Arenimonas_oryziterrae,-0.406770173,0.270801945,-0.622305635,-0.044575421,-0.422910589,1.110436904,-0.368005928
Arhodomonas_aquaeolei,0.52003017,-0.234316782,0.27080423,-0.171816208,0.219212831,1.453373492,0.220071662
Asticcacaulis_benevestitus,-0.2430219,-1.064032077,-2.128386337,-0.590636785,0.820322979,0.504541863,0.884213297
Atopobium_fossor_DSM_15642,-1.547468028,NaN,NaN,-1.916424267,-2.044231728,-0.531456906,-2.289450732
Aurantimonas_coralicida_DSM_14790,0.718310018,NaN,NaN,-0.347804838,0.619069036,1.207617241,0.763138464
Aureimonas_ureilytica,1.138247874,-0.776884781,-0.680044173,-0.347804838,0.833470983,1.084194042,0.930871165
Azohydromonas_australica_DSM_1124,1.138247874,NaN,-0.144735685,-0.347804838,2.293143155,1.388579728,2.396648418
Azospira_restricta,-0.586136113,NaN,NaN,-0.464293133,NaN,NaN,NaN
Azospirillum_halopraeferens,0.810129104,0.172527745,0.599749436,0.571391017,1.514234853,1.575957964,1.698941274
Azospirillum_irakense,0.176915959,-0.234316782,-0.244881405,2.75924761,NaN,NaN,NaN
Azotobacter_chroococcum,1.926226375,-0.234316782,-0.738842196,1.021295136,0.925184154,1.120507863,0.961349448
Bacillus_acidiproducens_DSM_23148,0.718310018,-0.500575854,0.27080423,0.77846319,-0.238895517,-0.611415081,-0.092755361
Bacillus_aidingensis,-1.547468028,0.510866646,0.27080423,-0.424446068,0.505346909,-0.595396532,0.816519905
Bacillus_chagannorensis,-0.09238809,1.10051724,0.27080423,-0.014389013,-0.085817554,0.039450232,0.071384167
Bacillus_endophyticus,0.718310018,NaN,-0.622305635,0.258031552,0.985423802,-1.265748162,1.330340642
Bacillus_fordii,0.047077034,1.60563596,NaN,0.015199605,0.558534317,-0.870069581,0.743733635
Bacillus_kribbensis,1.716908854,-0.500575854,-0.244881405,-0.014389013,0.854098744,-0.723982955,1.123178494
Bacillus_mannanilyticus,0.047077034,1.60563596,0.27080423,0.863867942,0.573002233,-1.001526152,0.527243175
Bacillus_panaciterrae,-0.09238809,-0.500575854,-0.401224718,0.687879311,1.032802515,-0.919170786,1.246204114
Bacillus_safensis,-2.310520098,-0.776884781,0.09273607,-1.111068423,0.22891199,-0.856841403,0.552606667
Bacteroides_acidifaciens,0.810129104,NaN,NaN,0.960299876,1.367032852,-0.603404023,0.617241314
Bacteroides_barnesiae,0.621780246,NaN,0.27080423,1.217074472,-0.012817739,-0.412054531,-0.30343262
Bacteroides_gallinarum_DSM_18171,-0.586136113,NaN,0.27080423,0.551061774,0.78383524,-0.348569227,0.643273039
Bacteroides_graminisolvens,-0.586136113,-0.079088684,-0.144735685,0.181390322,-0.00314537,-0.845600096,-0.247108257
Bacteroides_propionicifaciens,0.176915959,0.651215689,-0.401224718,-0.590636785,-0.838896606,-1.134826004,-1.185221213
Bacteroides_rodentium,1.351523164,NaN,0.27080423,-0.014389013,0.766278766,-0.396172632,NaN
Bacteroides_salyersiae,0.981330527,NaN,0.27080423,0.128021207,0.986143024,-0.813053648,0.635343666
Bacteroides_sartorii,1.061424231,NaN,0.27080423,1.814147338,1.057916726,-0.651526271,0.848888153
Balneatrix_alpica,-0.2430219,NaN,NaN,0.65005004,0.011498886,0.182589702,0.103646156
Balneola_alkaliphila,0.047077034,NaN,NaN,0.04421365,NaN,NaN,NaN
Balneola_vulgaris_DSM_17893,-2.310520098,0.270801945,-0.401224718,-0.014389013,-0.62757107,-0.985000124,-0.823329395
Bavariicoccus_seileri,0.810129104,-1.999940792,NaN,NaN,-1.258070585,-1.118051076,-1.43064463
Bavariicoccus_seileri_DSM_19936,0.810129104,-1.999940792,NaN,NaN,-1.258070585,-1.118051076,-1.43064463
Bifidobacterium_bombi,-0.784415959,NaN,-0.401224718,-1.383488988,-1.69549389,0.31861302,-2.414837609
Bifidobacterium_magnum_DSM_20222,2.022756148,-2.134280659,0.356260022,2.662815676,-1.797289287,0.528994003,-2.295394619
Bifidobacterium_minimum_DSM_20102,-1.547468028,NaN,0.27080423,-0.880740117,-1.698761366,0.860899126,-2.351466469
Bifidobacterium_stellenboschense,0.176915959,NaN,-151657e-9,1.524044007,-0.668741516,1.084194042,-1.242587316
Bifidobacterium_subtile,-0.586136113,NaN,0.069765347,-0.014389013,-0.689876666,0.710055267,-1.159638097
Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837,-0.586136113,-0.130466565,0.439495929,-0.347804838,-1.280021315,0.668612901,-1.958720138
Bizionia_argentinensis,-1.547468028,NaN,-1.183730018,-0.014389013,-0.269755362,-1.496166144,-0.280573415
Blastochloris_viridis,0.047077034,0.022597916,-0.401224718,-0.347804838,0.061485691,1.315487212,-0.06321419
Blautia_producta,2.022756148,NaN,0.27080423,-0.347804838,1.338024567,-0.507530255,1.487862594
Blautia_wexlerae,1.138247874,NaN,NaN,-0.347804838,-0.039395123,-0.837455114,-0.152756215
Brachymonas_chironomi,0.67066398,-0.234316782,-0.401224718,-0.347804838,-0.971647606,0.937404788,-0.994198029
Brachyspira_murdochii,-1.127530172,NaN,0.439495929,1.413313625,-0.299686082,-2.054351598,-0.450798857
Brevibacterium_album_DSM_18261,1.8244763,-0.234316782,NaN,0.863867942,0.307828215,1.595094385,0.200849402
Brevundimonas_aveniformis_DSM_17977,-1.257369095,0.743308954,-0.401224718,-0.777652598,-0.893874661,1.066757932,-0.685781185
Brucella_abortus_A13334,-0.2430219,NaN,0.27080423,-1.310587877,-0.264115733,0.410080669,-0.066890419
Brucella_canis_HSK_A52141,-0.2430219,NaN,0.27080423,-1.310587877,-0.243373657,0.410161483,-0.062295861
Burkholderia_mallei_NCTC_10229,0.176915959,NaN,NaN,-0.171816208,1.228876113,1.371937118,1.28280943
Burkholderia_nodosa,-0.09238809,NaN,NaN,-0.777652598,NaN,NaN,NaN
Burkholderia_plantarii,NaN,0.510866646,-0.680044173,-1.813336747,2.075427517,1.377341173,2.064102794
Butyricimonas_synergistica,0.718310018,NaN,NaN,-0.777652598,0.705060779,-0.579391979,0.434361962
Caldanaerovirga_acetigignens,-0.2430219,0.557949241,2.026705073,0.863867942,NaN,NaN,NaN
Caldibacillus_debilis,-0.406770173,NaN,2.31385848,1.627131527,-0.45016835,-0.039815766,-0.034880353
Caldicellulosiruptor_acetigenus_DSM_7040,0.412462726,-0.339661296,2.149494131,0.944653907,-0.883422121,-1.295997179,-0.94647683
Caldimicrobium_rimae,-0.586136113,-0.130466565,2.534939396,-1.241078767,NaN,NaN,NaN
Calditerrivibrio_nitroreducens,NaN,0.022597916,1.541078233,-0.590636785,-1.28826712,-1.332492722,-1.246728651
Caloramator_australicus_RC3,0.52003017,NaN,1.819897689,0.422911013,-0.835188301,-1.58522969,-0.743269693
Caloramator_fervidus,0.047077034,0.022597916,2.22097075,-0.014389013,NaN,NaN,NaN
Caloramator_viterbiensis,-0.586136113,-0.890395858,1.711263481,-0.014389013,NaN,NaN,NaN
Caminibacter_hydrogeniphilus,-0.586136113,-1.064032077,1.819897689,-1.050073163,NaN,NaN,NaN
Campylobacter_cuniculorum,-1.547468028,NaN,NaN,0.04421365,-1.637786704,-1.730994977,-1.671460285
Campylobacter_curvus_DSM_6644,0.176915959,NaN,0.27080423,0.687879311,-1.593216769,-0.603404023,-1.520330914
Campylobacter_hyointestinalis,-1.257369095,NaN,NaN,-0.464293133,-1.897799054,-1.478510834,-1.851250115
Campylobacter_ureolyticus_DSM_20703,-0.586136113,NaN,NaN,0.128021207,-2.068633103,-1.918429798,-2.044747471
Candidatus_Koribacter_versatilis_Ellin345,-0.586136113,NaN,NaN,-1.383488988,1.145031256,0.504541863,1.211498782
Candidatus_Methylomirabilis_oxyfera,-1.127530172,0.270801945,-0.680044173,-1.716904813,-0.724817452,0.520837534,-0.142354809
Candidatus_Poribacteria_sp_WGA_4E,-0.586136113,NaN,NaN,-1.383488988,0.007047254,-0.206019701,NaN
Candidatus_Poribacteria_sp_WGA_4G,-0.586136113,NaN,NaN,-1.383488988,-7.687523047,-0.380298125,NaN
Capnocytophaga_ochracea_F0287,-0.548869192,NaN,0.183006892,0.72477443,-0.860461914,-1.001526152,-1.132950146
Cellulophaga_algicola,-0.784415959,0.270801945,-1.700498036,0.128021207,0.768332872,-1.496166144,0.733982302
Cellulosilyticum_ruminicola,0.52003017,NaN,0.356260022,0.488359857,0.286167187,-1.58522969,0.094092192
Chitinibacter_tainanensis,0.047077034,0.022597916,-0.047625152,-0.385634108,-0.155987891,0.31861302,-0.085341805
Chitinilyticum_litopenaei_DSM_21440,-1.00607397,1.60563596,NaN,0.591447377,0.226220314,0.852445675,0.191610909
Chitinimonas_koreensis_DSM_17726,0.176915959,-0.776884781,NaN,0.100604357,1.115284485,1.397786833,0.930219198
Chitinimonas_taiwanensis,-1.257369095,-0.234316782,NaN,-0.777652598,NaN,NaN,NaN
Chitiniphilus_shinanonensis,0.176915959,NaN,-0.047625152,-0.935079793,0.343560858,1.18095941,0.284327353
Chitinophaga_pinensis,0.412462726,-0.234316782,-1.183730018,NaN,2.392025707,-0.547422704,2.285218557
Chlorobaculum_parvum_NCIB_8327,0.718310018,-0.130466565,-0.401224718,-0.347804838,-1.204348785,0.29453492,-1.319467881
Chlorobium_phaeobacteroides_DSM_266,0.047077034,NaN,NaN,-0.347804838,-0.387708178,-0.293097485,-0.469757608
Chlorobium_phaeovibrioides_DSM_265,-0.2430219,NaN,NaN,-0.777652598,-1.599040556,0.071199374,-1.734515677
Chryseobacterium_daeguense_DSM_19388,-0.586136113,0.022597916,-0.047625152,0.207376654,0.3826805,-1.295997179,0.51598248
Chryseobacterium_gregarium,0.047077034,NaN,NaN,-0.464293133,0.517817868,-1.026369337,0.574066284
Chryseobacterium_palustre_DSM_21579,-0.2430219,0.270801945,-0.401224718,-0.505232033,-0.516614741,-0.845600096,-0.58399025
Cloacibacillus_evryensis,0.52003017,-0.234316782,0.27080423,-0.014389013,-0.10900039,0.310583101,-0.202437995
Clostridiisalibacter_paucivorans,-0.586136113,-0.234316782,0.714890048,1.163705356,-0.292612972,-1.703126626,-0.197623741
Clostridium_acetireducens,0.718310018,-0.130466565,0.599749436,1.293715701,NaN,NaN,NaN
Clostridium_aestuarii,0.176915959,-0.234316782,-0.401224718,0.258031552,NaN,NaN,NaN
Clostridium_akagii,0.718310018,-2.134280659,-1.32307381,1.413313625,0.604300684,-1.776980617,0.716487224
Clostridium_aminophilum,0.718310018,NaN,NaN,-0.777652598,NaN,NaN,NaN
Clostridium_amylolyticum,-0.2430219,-0.776884781,0.27080423,0.944653907,NaN,NaN,NaN
Clostridium_caenicola,-0.586136113,-0.234316782,1.819897689,0.400441771,NaN,NaN,NaN
Clostridium_colicanis,0.621780246,NaN,0.398148228,1.413313625,-0.853931828,-1.730700084,-0.945231554
Clostridium_cylindrosporum,0.298372161,0.367774451,0.714890048,0.400441771,-0.741704794,-1.712301874,-0.667623003
Clostridium_fimetarium,-0.406770173,-0.339661296,-1.32307381,0.509554203,NaN,NaN,NaN
Clostridium_frigidicarnis,1.417562148,-0.130466565,0.023323923,1.51333302,NaN,NaN,NaN
Clostridium_ganghwense,0.176915959,0.510866646,0.09273607,1.293715701,NaN,NaN,NaN
Clostridium_homopropionicum,1.28308224,-0.286799567,0.27080423,1.676125305,0.00909239,-1.739923332,0.144116713
Clostridium_hydrogeniformans,0.52003017,0.270801945,0.09273607,0.591447377,0.311977826,-1.899331714,0.343200923
Clostridium_neopropionicum,-0.406770173,-0.130466565,-0.401224718,-0.205394619,NaN,NaN,NaN
Clostridium_polysaccharolyticum,0.412462726,-0.446543747,NaN,1.814147338,NaN,NaN,NaN
Clostridium_propionicum,0.298372161,-0.130466565,NaN,0.258031552,NaN,NaN,NaN
Clostridium_purinilyticum,1.28308224,0.319448747,0.183006892,1.33061082,NaN,NaN,NaN
Clostridium_saccharobutylicum,3.255273089,-0.66510677,-0.194417334,1.502544696,0.882528278,-1.966514965,0.726996934
Clostridium_saccharobutylicum_DSM_13864,3.255273089,-0.66510677,-0.194417334,1.502544696,0.882528278,-1.966514965,0.726996934
Clostridium_saccharogumia,0.52003017,0.270801945,NaN,-0.014389013,NaN,NaN,NaN
Clostridium_stercorarium_subsp_stercorarium_DSM_8532,0.176915959,0.270801945,1.819897689,1.079897801,NaN,NaN,NaN
Clostridium_sufflavum,-0.406770173,-0.182207539,-0.095812563,0.488359857,NaN,NaN,NaN
Clostridium_tepidiprofundi,-0.586136113,-1.064032077,1.235666075,-0.014389013,-0.449666951,-1.899331714,-0.611600676
Clostridium_thermobutyricum,0.718310018,0.172527745,1.541078233,0.377629475,NaN,NaN,NaN
Clostridium_thermopalmarium,0.412462726,-0.66510677,1.541078233,1.021295136,NaN,NaN,NaN
Clostridium_thermosuccinogenes,-1.257369095,NaN,NaN,0.258031552,NaN,NaN,NaN
Clostridium_uliginosum,0.718310018,-0.776884781,-1.32307381,1.723563461,NaN,NaN,NaN
Clostridium_viride,0.298372161,NaN,NaN,-0.935079793,NaN,NaN,NaN
Comamonas_badia_DSM_17552,0.412462726,NaN,-0.56558907,-0.547324292,0.030713488,1.145597583,0.164566698
Comamonas_composti,-0.586136113,-0.234316782,-0.401224718,-0.777652598,0.629425663,0.911816003,0.585838441
Corynebacterium_bovis,-0.406770173,NaN,-0.680044173,0.863867942,-0.951575493,1.761035477,-1.546254638
Corynebacterium_callunae_DSM_20147,-0.586136113,NaN,NaN,0.687879311,-0.563818503,0.028415882,-0.661971811
Corynebacterium_cystitidis,-0.586136113,NaN,NaN,0.04421365,NaN,NaN,NaN
Corynebacterium_maris_DSM_45190,0.047077034,-0.028068845,0.09273607,-1.174659994,-0.649684861,1.199820839,-0.696045357
Corynebacterium_massiliense_DSM_45435,-0.586136113,NaN,0.27080423,-1.383488988,-1.32790299,1.058057289,-1.532501448
Corynebacterium_pilosum,-0.586136113,NaN,NaN,-0.9914705,-0.94265497,0.693456085,-0.996731562
Corynebacterium_vitaeruminis_DSM_20294,0.718310018,NaN,-0.622305635,-0.547324292,-0.561067529,1.101677312,-0.706345989
Cronobacter_pulveris_601,0.621780246,NaN,NaN,-0.171816208,NaN,NaN,NaN
Cucumibacter_marinus_DSM_18995,-0.586136113,0.270801945,-0.144735685,-0.547324292,0.053669171,0.818721895,0.235026781
Dasania_marina_DSM_21967,-1.257369095,1.187161058,-1.781626478,-0.828307496,0.314183177,-0.372363483,0.32638681
Deefgea_rivuli,0.176915959,0.221829732,NaN,0.488359857,0.052492563,-0.245590691,0.077515382
Deferribacter_autotrophicus,-0.406770173,-1.064032077,1.819897689,0.377629475,NaN,NaN,NaN
Dehalogenimonas_lykanthroporepellens_BL_DC_9,-0.784415959,-0.234316782,-0.296152938,NaN,-1.998909994,0.230487631,-1.944627155
Deinococcus_maricopensis,2.022756148,NaN,0.520624371,1.293715701,-0.101504965,1.490769689,0.013823673
Deinococcus_marmoris,2.622059944,0.270801945,-3.206578742,NaN,0.720916732,1.006090522,0.830725494
Deinococcus_misasensis,0.047077034,0.743308954,0.714890048,-0.935079793,0.867456438,0.246478728,1.157745177
Deinococcus_murrayi_DSM_11303,1.602818289,0.510866646,1.037392392,NaN,-0.710912523,1.453373492,-0.659714415
Demetria_terragena_DSM_11295,0.718310018,NaN,-0.622305635,-0.424446068,-0.045447392,1.032023734,0.098438805
Dendrosporobacter_quercicolus,-0.586136113,NaN,-0.680044173,0.258031552,NaN,NaN,NaN
Denitrovibrio_acetiphilus,-0.2430219,0.319448747,0.183006892,-0.464293133,-0.315552234,-0.764394735,-0.258875438
Derxia_gummosa,0.897675957,-0.234316782,-0.401224718,0.863867942,0.921615983,1.500162426,0.807690966
Desulfatibacillum_aliphaticivorans_DSM_15576,-0.2430219,NaN,-0.244881405,0.630770077,1.497241624,0.182589702,1.419274303
Desulfatirhabdium_butyrativorans_DSM_18734,0.981330527,0.022597916,-0.509858929,0.282729245,0.542651401,0.222496961,0.513725084
Desulfobacca_acetoxidans,1.212058039,NaN,0.27080423,-0.31090972,-0.267211262,0.063259381,-0.32144899
Desulfobacter_curvatus,0.176915959,-0.234316782,-0.455081489,0.04421365,1.142227105,-0.412054531,1.097442006
Desulfobacter_latus,2.022756148,-0.079088684,-0.348258185,1.163705356,NaN,NaN,NaN
Desulfobacter_vibrioformis,2.202122086,-0.339661296,-0.095812563,1.354710962,0.533817799,-0.277258506,0.509205012
Desulfobacterium_anilini_DSM_4660,1.138247874,-0.028068845,0.09273607,-0.171816208,NaN,NaN,NaN
Desulfobacterium_vacuolatum,1.771461021,NaN,-0.680044173,-0.171816208,0.845608062,-0.443842576,0.659067026
Desulfobulbus_japonicus,1.061424231,-0.446543747,0.09273607,-0.239745014,1.213251044,-0.499560317,1.170977261
Desulfobulbus_mediterraneus_DSM_13871,1.417562148,-0.079088684,-0.985456332,-0.138975844,0.719177194,0.439578456,0.547402875
Desulfocapsa_sulfexigens_DSM_10523,-0.586136113,-0.130466565,-0.401224718,0.258031552,0.262050284,-0.532334712,0.254024538
Desulfocapsa_thiozymogenes,0.412462726,0.172527745,-0.401224718,0.128021207,NaN,NaN,NaN
Desulfocurvus_vexinensis,-0.586136113,-0.234316782,0.27080423,0.687879311,-0.007600659,1.481394582,-0.023986319
Desulfofaba_fastidiosa,0.52003017,-0.36623598,-0.622305635,0.445047365,NaN,NaN,NaN
Desulfofaba_gelida,2.847515973,0.122891504,-5.064550451,1.243060804,NaN,NaN,NaN
Desulfohalobium_retbaense,0.298372161,-0.500575854,0.398148228,-0.347804838,-0.580841508,0.41461519,-0.753739765
Desulfoluna_butyratoxydans,0.412462726,-0.182207539,-0.401224718,-0.014389013,NaN,NaN,NaN
Desulfomicrobium_baculatum,-0.2430219,NaN,-0.144735685,-0.777652598,0.209266316,0.520837534,0.147535076
Desulfomicrobium_escambiense,-0.586136113,NaN,NaN,-0.385634108,0.10116177,0.945954331,0.027208642
Desulfonatronovibrio_hydrogenovorans,-0.586136113,1.686535326,0.27080423,-0.547324292,-0.554052419,-0.142719287,-0.451848875
Desulfonauticus_autotrophicus,-0.2430219,0.172527745,1.711263481,-0.9914705,NaN,NaN,NaN
Desulfosporosinus_hippei,0.897675957,-0.234316782,-0.622305635,1.021295136,NaN,NaN,NaN
Desulfotignum_phosphitoxidans,0.047077034,-0.028068845,-0.401224718,0.258031552,0.826411156,-0.063572872,1.000434594
Desulfotomaculum_acetoxidans,1.138247874,-0.130466565,0.183006892,1.354710962,0.579313871,-0.837455114,0.628116283
Desulfotomaculum_alcoholivorax,0.52003017,-0.500575854,0.8980486,1.021295136,-0.122010401,-0.412054531,0.087995967
Desulfotomaculum_alkaliphilum,-0.09238809,1.251477588,1.392009391,0.377629475,-0.851213314,-0.627448171,-0.655204888
Desulfotomaculum_arcticum,0.718310018,-0.079088684,0.826036529,-0.014389013,NaN,NaN,NaN
Desulfotomaculum_geothermicum,-0.09238809,-0.234316782,1.482280214,-0.075384274,NaN,NaN,NaN
Desulfotomaculum_halophilum,-0.586136113,0.221829732,0.09273607,0.863867942,NaN,NaN,NaN
Desulfotomaculum_thermocisternum,0.412462726,0.319448747,1.924969472,0.530452116,-0.819055751,0.20652504,-0.668754565
Desulfotomaculum_thermosapovorans,1.771461021,0.122891504,1.235666075,1.413313625,NaN,NaN,NaN
Desulfovermiculus_halophilus,-0.406770173,0.072916446,0.27080423,2.129880397,-0.299453476,0.374937761,-0.306427585
Desulfovibrio_acrylicus,0.298372161,0.172527745,-0.047625152,0.258031552,NaN,NaN,NaN
Desulfovibrio_africanus,-0.586136113,NaN,NaN,1.627131527,0.374009764,0.751687786,0.449024106
Desulfovibrio_alaskensis,0.412462726,0.270801945,0.27080423,0.258031552,0.065245743,0.4557876,0.099307348
Desulfovibrio_alcoholivorans,0.298372161,-0.234316782,0.183006892,0.258031552,0.893247886,1.032023734,0.890169394
Desulfovibrio_alkalitolerans_DSM_16529,-0.09238809,1.10051724,0.752368865,-0.635242378,-0.331540151,1.01472395,-0.335539525
Desulfovibrio_aminophilus_DSM_12254,-2.310520098,0.122891504,0.09273607,0.488359857,-0.161253074,1.163252893,-0.043990086
Desulfovibrio_bastinii,-0.586136113,-1.005694581,0.313816986,-0.014389013,0.187084171,-0.715914715,0.167112836
Desulfovibrio_cuneatus,-0.586136113,NaN,-0.622305635,-0.138975844,-0.207236202,0.110929325,-0.462370024
Desulfovibrio_ferrireducens,0.047077034,-0.339661296,-1.25264455,0.687879311,NaN,NaN,NaN
Desulfovibrio_frigidus,0.047077034,-0.028068845,-1.468753545,0.488359857,0.364403025,-0.740133338,0.347189952
Desulfovibrio_gigas,0.718310018,NaN,-0.144735685,1.163705356,0.110707787,0.945261442,0.035210069
Desulfovibrio_hydrothermalis,0.176915959,0.221829732,0.09273607,-1.111068423,0.049955439,-0.554723163,-0.017650316
Desulfovibrio_inopinatus_DSM_10711,1.138247874,-0.776884781,-0.401224718,1.723563461,1.198406318,-0.229760838,1.171577286
Desulfovibrio_longus,-0.784415959,0.270801945,0.09273607,1.627131527,0.045372538,0.945954331,0.086251831
Desulfovibrio_marinisediminis,0.412462726,0.221829732,0.27080423,-0.171816208,NaN,NaN,NaN
Desulfovibrio_mexicanus,-0.586136113,0.022597916,0.27080423,-0.274903727,NaN,NaN,NaN
Desulfovibrio_oxyclinae,-0.586136113,0.172527745,NaN,-0.014389013,-0.234120023,0.561679202,-0.170810633
Desulfovibrio_psychrotolerans,-0.406770173,NaN,-0.509858929,-1.050073163,NaN,NaN,NaN
Desulfovibrio_putealis_DSM_16056,0.047077034,-0.36623598,-0.401224718,0.354463486,0.669334083,0.869361764,0.679044838
Desulfovibrio_sulfodismutans,0.176915959,0.270801945,0.09273607,0.258031552,NaN,NaN,NaN
Desulfovibrio_tunisiensis,-0.586136113,-0.500575854,0.27080423,-0.547324292,NaN,NaN,NaN
Desulfovibrio_zosterae,-0.586136113,-0.776884781,-0.047625152,0.258031552,0.306354591,-0.821181963,0.287584445
